日期,做空,做多,主力空,主力多
2月3日,"['JD', 'BU', 'IM', 'CS', 'MA', 'CF', 'TA', 'SR', 'PB']","['I', 'RM', 'PP', 'RU', 'ME', 'L', 'FU', 'BB', 'FB']","['JD1509.DCE', 'BU1509.SHF', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'PB1503.SHF']","['I1509.DCE', 'RM509.CZC', 'PP1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'L1509.DCE', 'FU1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月4日,"['BU', 'JD', 'IM', 'CS', 'MA', 'RS', 'CF', 'TA', 'RB']","['P', 'RM', 'PP', 'L', 'RU', 'ME', 'FU', 'BB', 'FB']","['BU1509.SHF', 'JD1509.DCE', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'RS509.CZC', 'CF509.CZC', 'TA509.CZC', 'RB1510.SHF']","['P1509.DCE', 'RM509.CZC', 'PP1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月5日,"['BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'RB', 'SR', 'PB']","['P', 'CU', 'IM', 'RM', 'RU', 'PP', 'L', 'FU', 'BB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'RB1510.SHF', 'SR509.CZC', 'PB1503.SHF']","['P1509.DCE', 'CU1505.SHF', 'IM_S1502.SHF', 'RM509.CZC', 'RU1509.SHF', 'PP1509.DCE', 'L1509.DCE', 'FU1503.SHF', 'BB1503.DCE']"
2月6日,"['JD', 'BU', 'IM', 'CS', 'MA', 'FB', 'CF', 'TA', 'SR']","['RM', 'PP', 'L', 'RU', 'RS', 'ME', 'FU', 'BB', 'B']","['JD1509.DCE', 'BU1509.SHF', 'IM_S1502.SHF', 'CS1509.DCE', 'MA509.CZC', 'FB1509.DCE', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['RM509.CZC', 'PP1509.DCE', 'L1509.DCE', 'RU1509.SHF', 'RS509.CZC', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE', 'BB1508.DCE']"
2月9日,"['BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'SR', 'RB', 'J']","['A', 'CU', 'I', 'L', 'PP', 'RM', 'RU', 'BB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'RB1510.SHF', 'J1509.DCE']","['A1509.DCE', 'CU1505.SHF', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'BB1503.DCE']"
2月10日,"['FU', 'BU', 'JD', 'CS', 'MA', 'IM', 'CF', 'TA', 'SR']","['AF', 'CU', 'PP', 'RM', 'L', 'RU', 'ME', 'BB', 'FB']","['FU1506.SHF', 'BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'IM_S1502.SHF', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC']","['AF1509-S.CFE', 'CU1505.SHF', 'PP1509.DCE', 'RM509.CZC', 'L1509.DCE', 'RU1509.SHF', 'ME504.CZC', 'BB1503.DCE', 'FB1503.DCE']"
2月11日,"['BU', 'JD', 'CS', 'MA', 'CF', 'TA', 'SR', 'RB', 'PB']","['P', 'CU', 'L', 'PP', 'RM', 'RU', 'ME', 'FU', 'BB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'SR509.CZC', 'RB1510.SHF', 'PB1503.SHF']","['P1509.DCE', 'CU1505.SHF', 'L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE']"
2月12日,"['JD', 'BU', 'CS', 'MA', 'CF', 'TA', 'IM', 'SR', 'RB']","['L', 'PP', 'RM', 'RU', 'HC', 'ME', 'FU', 'BB', 'FB']","['JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'IM_S1502.SHF', 'SR509.CZC', 'RB1510.SHF']","['L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'RU1509.SHF', 'HC1503.SHF', 'ME504.CZC', 'FU1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月13日,"['IM', 'JD', 'BU', 'CS', 'MA', 'TA', 'CF', 'WR', 'RB']","['I', 'L', 'FU', 'RU', 'RM', 'HC', 'ME', 'BB', 'FB']","['IM_S1502.SHF', 'JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'MA509.CZC', 'TA509.CZC', 'CF509.CZC', 'WR1511.SHF', 'RB1510.SHF']","['I1509.DCE', 'L1509.DCE', 'FU1509.SHF', 'RU1509.SHF', 'RM509.CZC', 'HC1503.SHF', 'ME504.CZC', 'BB1503.DCE', 'FB1503.DCE']"
2月16日,"['JD', 'CS', 'BU', 'MA', 'RI', 'TA', 'CF', 'IM', 'RB']","['P', 'I', 'L', 'PP', 'RM', 'HC', 'RU', 'BB', 'FB']","['JD1509.DCE', 'CS1509.DCE', 'BU1509.SHF', 'MA509.CZC', 'RI509.CZC', 'TA509.CZC', 'CF509.CZC', 'IM_S1506.SHF', 'RB1510.SHF']","['P1509.DCE', 'I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'HC1503.SHF', 'RU1509.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月17日,"['JD', 'BU', 'CS', 'RU', 'MA', 'TA', 'CF', 'CU', 'RB']","['I', 'PP', 'L', 'RM', 'FU', 'ME', 'HC', 'BB', 'FB']","['JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'RU1505.SHF', 'MA509.CZC', 'TA509.CZC', 'CF509.CZC', 'CU1504.SHF', 'RB1510.SHF']","['I1509.DCE', 'PP1509.DCE', 'L1509.DCE', 'RM509.CZC', 'FU1509.SHF', 'ME504.CZC', 'HC1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月25日,"['BU', 'JD', 'CS', 'RU', 'MA', 'CF', 'TA', 'IM', 'RB']","['I', 'M,C', 'M,C', 'L', 'PP', 'RM', 'HC', 'BB', 'FB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'RU1505.SHF', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'IM_S1506.SHF', 'RB1510.SHF']","['I1509.DCE', 'L1509.DCE', 'PP1509.DCE', 'RM509.CZC', 'HC1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月26日,"['BU', 'JD', 'CS', 'RU', 'MA', 'CF', 'TA', 'RB', 'J']","['P', 'I', 'PP', 'FU', 'L', 'RM', 'HC', 'BB', 'FB']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'RU1505.SHF', 'MA509.CZC', 'CF509.CZC', 'TA509.CZC', 'RB1510.SHF', 'J1509.DCE']","['P1509.DCE', 'I1509.DCE', 'PP1509.DCE', 'FU1509.SHF', 'L1509.DCE', 'RM509.CZC', 'HC1503.SHF', 'BB1503.DCE', 'FB1503.DCE']"
2月27日,"['JD', 'BU', 'CS', 'RU', 'WR', 'RB', 'TA', 'IM', 'CF']","['I', 'P', 'PP', 'BB', 'L', 'RM', 'FU', 'HC', 'FB']","['JD1509.DCE', 'BU1509.SHF', 'CS1509.DCE', 'RU1505.SHF', 'WR1511.SHF', 'RB1510.SHF', 'TA509.CZC', 'IM_S1506.SHF', 'CF509.CZC']","['I1509.DCE', 'P1509.DCE', 'PP1509.DCE', 'BB1509.DCE', 'L1509.DCE', 'RM509.CZC', 'FU1509.SHF', 'HC1503.SHF', 'FB1503.DCE']"
3月2日,"['BU', 'JD', 'CS', 'RU', 'WR', 'RM', 'RS', 'RB', 'CF']","['AF', 'P', 'BB', 'PP', 'L', 'FU', 'HC', 'FB', 'ZC']","['BU1509.SHF', 'JD1509.DCE', 'CS1509.DCE', 'RU1505.SHF', 'WR1511.SHF', 'RM505.CZC', 'RS511.CZC', 'RB1510.SHF', 'CF509.CZC']","['AF1506-S.CFE', 'P1509.DCE', 'BB1509.DCE', 'PP1509.DCE', 'L1509.DCE', 'FU1509.SHF', 'HC1503.SHF', 'FB1503.DCE', 'MA506.CZC']"
