DAY,ID,DATA,Maincontract,Submaincontract
1月8日,JM,-0.03940876062147076,JM1505.DCE,JM1509.DCE
1月8日,AG,0.0422857273088121,AG1506.SHF,AG1501.SHF
1月8日,CU,0.09028474980720823,CU1503.SHF,CU1504.SHF
1月8日,SR,-0.08152077358442679,SR505.CZC,SR509.CZC
1月8日,B,-0.0027034433721197216,B1505.DCE,B1509.DCE
1月8日,J,-0.29460492778249786,J1505.DCE,J1501.DCE
1月8日,L,0.10949424691245035,L1505.DCE,L1509.DCE
1月8日,RI,0.0,RI505.CZC,RI509.CZC
1月8日,P,-0.03246949233853417,P1505.DCE,P1509.DCE
1月8日,ZN,-0.04339977516430301,ZN1503.SHF,ZN1502.SHF
1月8日,RB,-0.02108734859560017,RB1505.SHF,RB1510.SHF
1月8日,PB,-0.005254217769332643,PB1503.SHF,PB1502.SHF
1月8日,TA,-0.08673218256190912,TA505.CZC,TA509.CZC
1月8日,JD,-0.1983072243913092,JD1505.DCE,JD1509.DCE
1月8日,V,0.06265312173275284,V1505.DCE,V1509.DCE
1月8日,I,0.09572515079989509,I1505.DCE,I1509.DCE
1月8日,M,0.012485889234768925,M1505.DCE,M1509.DCE
1月8日,FG,0.04672516525463179,FG506.CZC,FG509.CZC
1月8日,A,0.04414100936141207,A1505.DCE,A1509.DCE
1月8日,BB,0.0976457998929909,BB1502.DCE,BB1505.DCE
1月8日,FU,-0.2635809954627826,FU1503.SHF,FU1506.SHF
1月8日,CF,-0.07589180784320816,CF505.CZC,CF509.CZC
1月8日,WR,0.023765163125682404,WR1504.SHF,WR1511.SHF
1月8日,RU,0.08201286761797162,RU1505.SHF,RU1509.SHF
1月8日,FB,-0.142578125,FB1505.DCE,FB1501.DCE
1月8日,AU,0.025137741046831957,AU1506.SHF,AU1502.SHF
1月8日,C,0.012485889234768925,M1505.DCE,M1509.DCE
1月8日,HC,-0.11393534002229654,HC1505.SHF,HC1501.SHF
1月8日,AL,-0.05491267881097752,AL1503.SHF,AL1504.SHF
1月8日,WH,-0.11188534951333587,WH501.CZC,WH505.CZC
1月8日,CS,-0.16685472904551107,CS1505.DCE,CS1509.DCE
1月8日,MA,-0.1358308007194691,MA506.CZC,MA509.CZC
1月8日,TC,-0.036711088760372136,TC505.CZC,TC509.CZC
1月8日,IM,-0.05293725978811912,IM_S1503.SHF,IM_S1501.SHF
1月8日,Y,-0.0448382917895113,Y1505.DCE,Y1509.DCE
1月8日,RM,0.05763397742378507,RM505.CZC,RM509.CZC
1月8日,SM,0.0,SM501.CZC,SM505.CZC
1月8日,ME,0.2660203520352035,ME505.CZC,ME501.CZC
1月8日,EF,0.0,EF1509-S.CFE,EF1501-S.CFE
1月8日,BU,-0.16093080220453154,BU1506.SHF,BU1509.SHF
1月8日,OI,-0.03545261477800441,OI505.CZC,OI509.CZC
1月9日,PP,0.09597393115138197,PP1505.DCE,PP1509.DCE
1月9日,AF,-0.04959239130434783,AF1509-S.CFE,AF1506-S.CFE
1月9日,JM,-0.05143631436314362,JM1505.DCE,JM1509.DCE
